                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7487,                 3.1725,                 1.9783,                0.00339,                0.91176,                0.11639,                0.05273,                 1.2658,                 3.6656,                 1.8223,                0.00014,                0.00014,                0.00014
                      2,                  1.578,                 2.5692,                 1.7668,                0.00361,                0.97059,                0.18077,                0.05226,                 1.8552,                 3.8251,                  2.308,              0.0002973,              0.0002973,              0.0002973
                      3,                 1.4928,                 2.1583,                 1.6508,                      1,                0.03471,                0.56341,                0.22941,                 1.8587,                 4.0075,                 2.3568,             0.00045172,             0.00045172,             0.00045172
                      4,                 1.5218,                 1.9426,                 1.6515,                0.50794,                0.10294,                0.31111,                0.11296,                   2.31,                 4.2309,                 2.7496,             0.00060326,             0.00060326,             0.00060326
                      5,                  1.563,                 2.0989,                 1.6764,                0.73311,                0.08128,                0.19495,                 0.0838,                  2.245,                 4.9837,                 2.9749,             0.00075192,             0.00075192,             0.00075192
                      6,                 1.5643,                 1.8822,                 1.6355,                0.37482,                0.02941,                0.10586,                0.04653,                 2.8535,                 4.8953,                 3.5852,              0.0008977,              0.0008977,              0.0008977
                      7,                 1.5269,                  1.921,                 1.6363,                0.15487,                0.02941,                0.07257,                0.02623,                 2.6663,                 4.7792,                  3.604,              0.0010406,              0.0010406,              0.0010406
                      8,                  1.602,                  1.875,                 1.7139,                0.46273,                   0.25,                0.20625,                0.08636,                 2.9584,                 3.6183,                 3.5353,              0.0011806,              0.0011806,              0.0011806
                      9,                 1.5512,                 1.7644,                 1.6284,                0.28801,                0.26471,                 0.1764,                0.07338,                   2.69,                 3.0265,                 3.7597,              0.0013178,              0.0013178,              0.0013178
                     10,                 1.6454,                 1.7695,                 1.6683,                0.35877,                0.36765,                0.23239,                0.08149,                 3.3359,                 3.4842,                 3.9973,               0.001452,               0.001452,               0.001452
                     11,                 1.6171,                 1.7071,                 1.7266,                0.54586,                0.30882,                0.33371,                0.12587,                 2.4001,                 3.0621,                 3.1011,              0.0015834,              0.0015834,              0.0015834
                     12,                 1.6588,                 1.7421,                 1.6998,                0.20657,                   0.25,                0.13978,                 0.0474,                 2.5464,                 4.8961,                 3.2793,              0.0017119,              0.0017119,              0.0017119
                     13,                 1.5564,                 1.6798,                 1.6321,                0.23945,                0.33824,                0.23297,                 0.0764,                 2.0917,                 3.7596,                 2.8988,               0.001784,               0.001784,               0.001784
                     14,                  1.582,                 1.6324,                 1.6533,                 0.2281,                0.38235,                0.17905,                0.06642,                  2.724,                 3.7382,                 3.5381,               0.001784,               0.001784,               0.001784
                     15,                 1.6602,                 1.6727,                 1.7422,                0.53994,                0.22059,                0.23344,                0.07054,                 3.1215,                 4.6707,                 4.9241,               0.001766,               0.001766,               0.001766
                     16,                 1.6236,                 1.5396,                 1.6519,                0.22273,                0.29412,                0.15085,                 0.0555,                 3.0803,                 4.3504,                 4.7997,               0.001748,               0.001748,               0.001748
                     17,                 1.6347,                 1.5516,                 1.6388,                0.12777,                0.22059,                0.10216,                0.03061,                 4.0039,                 18.763,                 16.992,                0.00173,                0.00173,                0.00173
                     18,                  1.605,                 1.5203,                 1.5986,                0.34406,                0.22059,                0.19962,                0.06719,                 3.6702,                 9.3965,                   6.89,               0.001712,               0.001712,               0.001712
                     19,                  1.586,                  1.508,                  1.675,                0.15518,                0.16176,                0.09343,                0.02828,                 3.4358,                 11.239,                 6.8655,               0.001694,               0.001694,               0.001694
                     20,                 1.6177,                  1.502,                 1.6744,                0.44533,                0.39706,                0.38041,                0.14436,                 3.0455,                 2.5601,                 3.6895,               0.001676,               0.001676,               0.001676
                     21,                 1.5545,                 1.3919,                 1.6203,                0.77994,                0.45588,                  0.535,                0.22869,                 3.1763,                 2.8779,                 3.8855,               0.001658,               0.001658,               0.001658
                     22,                 1.5725,                 1.4137,                 1.6314,                0.65502,                0.47059,                 0.5145,                0.21997,                 2.3219,                 3.9204,                 3.0525,                0.00164,                0.00164,                0.00164
                     23,                 1.5991,                 1.3856,                 1.6961,                0.66666,                0.48529,                0.53833,                0.24118,                 2.3717,                 3.2355,                 2.8135,               0.001622,               0.001622,               0.001622
                     24,                 1.5784,                 1.3931,                 1.6017,                0.80354,                0.36102,                0.48325,                0.21305,                 2.5904,                 4.2189,                 3.1288,               0.001604,               0.001604,               0.001604
                     25,                 1.4895,                 1.3255,                 1.5705,                0.67668,                0.32353,                 0.3234,                0.12937,                 2.6212,                 2.3531,                  3.252,               0.001586,               0.001586,               0.001586
                     26,                 1.5529,                 1.2851,                 1.6257,                0.25329,                0.30882,                0.14395,                0.04064,                 2.8849,                  4.249,                 3.8754,               0.001568,               0.001568,               0.001568
                     27,                 1.4668,                  1.202,                 1.5597,                0.29885,                   0.25,                0.11314,                0.03075,                 2.6754,                 3.5417,                  3.641,                0.00155,                0.00155,                0.00155
                     28,                 1.4668,                 1.2666,                 1.5497,                0.24474,                0.36765,                0.20508,                0.07184,                  2.964,                 3.1461,                 3.2218,               0.001532,               0.001532,               0.001532
                     29,                 1.4596,                 1.1791,                 1.5216,                0.81739,                0.38235,                0.50813,                0.23246,                   2.56,                 2.2984,                 2.6459,               0.001514,               0.001514,               0.001514
                     30,                 1.4918,                 1.1859,                 1.5724,                0.60563,                0.38235,                0.43308,                0.18166,                 2.7376,                 2.5233,                 3.3586,               0.001496,               0.001496,               0.001496
                     31,                 1.4293,                 1.1102,                 1.4701,                0.50452,                0.55409,                 0.5136,                0.21991,                 3.2578,                 2.2491,                 3.5092,               0.001478,               0.001478,               0.001478
                     32,                 1.4664,                 1.1386,                 1.5527,                0.58496,                0.51822,                0.55963,                0.25595,                 2.9542,                 2.0389,                 3.3058,                0.00146,                0.00146,                0.00146
                     33,                 1.4621,                 1.1585,                 1.5384,                0.64032,                0.57353,                0.60559,                0.28076,                 2.7581,                 1.7321,                 3.0073,               0.001442,               0.001442,               0.001442
                     34,                  1.403,                 1.1306,                 1.4917,                0.62437,                0.58668,                0.61216,                0.26959,                 2.7478,                 1.3714,                 3.0496,               0.001424,               0.001424,               0.001424
                     35,                 1.4387,                 1.1377,                 1.5198,                0.76047,                 0.5136,                0.61525,                0.27824,                 2.9038,                 1.2723,                 3.2277,               0.001406,               0.001406,               0.001406
                     36,                 1.3561,                 1.0601,                 1.4794,                0.68137,                0.63235,                0.67247,                0.31061,                 3.0505,                 1.5257,                 3.2926,               0.001388,               0.001388,               0.001388
                     37,                 1.3827,                 1.0157,                 1.4868,                0.60446,                0.55882,                0.59634,                0.27231,                 2.9945,                  2.708,                  3.495,                0.00137,                0.00137,                0.00137
                     38,                 1.4619,                  1.112,                 1.4874,                0.55693,                0.63235,                0.56761,                0.27668,                 3.1144,                 2.6056,                 3.6839,               0.001352,               0.001352,               0.001352
                     39,                  1.329,                 1.0072,                 1.4548,                0.67783,                0.55695,                0.61138,                0.21149,                 2.4116,                 2.2141,                 2.5382,               0.001334,               0.001334,               0.001334
                     40,                  1.368,                 1.0072,                 1.4539,                 0.6155,                0.65919,                0.63928,                0.31202,                 3.0888,                 1.6357,                 3.3831,               0.001316,               0.001316,               0.001316
                     41,                 1.3371,                 1.0509,                 1.4263,                0.61976,                0.63235,                0.65314,                0.30919,                 3.1191,                 2.2144,                  3.934,               0.001298,               0.001298,               0.001298
                     42,                 1.2849,                0.93918,                 1.4082,                0.64476,                0.66176,                 0.6568,                 0.3071,                 3.0215,                 1.2055,                 3.6921,                0.00128,                0.00128,                0.00128
                     43,                 1.3646,                 1.0047,                 1.4567,                0.68783,                0.73529,                0.74321,                0.35709,                 2.8601,                 1.6232,                 3.4517,               0.001262,               0.001262,               0.001262
                     44,                  1.292,                0.92169,                 1.3897,                0.74673,                0.72059,                 0.7309,                0.34699,                 2.6278,                 2.4409,                 2.9296,               0.001244,               0.001244,               0.001244
                     45,                 1.3384,                0.97559,                 1.4158,                 0.6463,                0.70588,                0.71619,                 0.3534,                 2.3629,                 2.7715,                 2.5787,               0.001226,               0.001226,               0.001226
                     46,                 1.2847,                 1.0019,                 1.4197,                0.72112,                0.60849,                0.66317,                0.32519,                 2.9526,                 2.0259,                 3.3789,               0.001208,               0.001208,               0.001208
                     47,                 1.2673,                0.91563,                 1.3829,                0.74709,                0.70588,                0.71162,                0.36573,                 2.9334,                 1.6009,                 3.6308,                0.00119,                0.00119,                0.00119
                     48,                 1.3047,                0.89342,                 1.4127,                0.64549,                0.67647,                0.69079,                0.33897,                 3.0464,                 1.5553,                 3.9657,               0.001172,               0.001172,               0.001172
                     49,                 1.3623,                 0.9483,                 1.4685,                0.74795,                0.70588,                0.73981,                0.38304,                 3.1629,                 1.7556,                 4.4192,               0.001154,               0.001154,               0.001154
                     50,                  1.286,                0.94361,                 1.4645,                 0.7464,                0.55882,                0.65848,                0.34353,                 2.8831,                 2.0511,                 3.6695,               0.001136,               0.001136,               0.001136
                     51,                 1.3602,                0.99334,                  1.461,                0.70038,                0.60294,                0.67112,                0.36917,                 2.8758,                 1.6857,                 3.6349,               0.001118,               0.001118,               0.001118
                     52,                  1.292,                0.93287,                 1.3663,                0.67097,                 0.6298,                0.64657,                0.33779,                 2.7275,                 1.6853,                  3.312,                 0.0011,                 0.0011,                 0.0011
                     53,                 1.2697,                0.85816,                 1.3633,                0.67843,                0.41176,                0.48736,                0.24708,                 2.7984,                 1.4243,                  3.262,               0.001082,               0.001082,               0.001082
                     54,                 1.1616,                0.84031,                 1.3289,                0.72514,                0.46563,                0.55784,                0.29207,                 2.8411,                 1.2624,                 3.4557,               0.001064,               0.001064,               0.001064
                     55,                  1.162,                0.78843,                 1.3141,                0.74716,                0.65192,                0.69154,                0.37047,                 2.7305,                 1.3942,                 3.4377,               0.001046,               0.001046,               0.001046
                     56,                 1.1518,                0.81428,                 1.2844,                0.77624,                0.66323,                0.75365,                0.39056,                  2.823,                 1.9859,                 3.4498,               0.001028,               0.001028,               0.001028
                     57,                 1.1672,                 0.8247,                 1.3341,                 0.8654,                0.56739,                 0.6794,                0.36744,                 2.9577,                 1.5924,                 3.7081,                0.00101,                0.00101,                0.00101
                     58,                  1.185,                0.84959,                 1.3429,                0.76332,                0.64706,                0.68552,                0.35549,                 2.8815,                  2.033,                 3.6993,               0.000992,               0.000992,               0.000992
                     59,                 1.1757,                0.83812,                 1.3715,                0.84228,                0.52941,                0.68564,                0.36235,                  2.772,                 1.6538,                 3.5322,               0.000974,               0.000974,               0.000974
                     60,                 1.1966,                0.83833,                 1.3682,                0.67824,                0.52941,                0.59094,                 0.3152,                 2.8496,                 1.7913,                 3.5937,               0.000956,               0.000956,               0.000956
                     61,                 1.1914,                0.85633,                  1.348,                0.82958,                0.61765,                0.69563,                0.35074,                 2.9459,                 1.6786,                 3.6935,               0.000938,               0.000938,               0.000938
                     62,                 1.2383,                  0.865,                 1.3716,                0.80172,                0.69118,                0.74872,                0.36388,                 3.0652,                 1.4478,                  3.911,                0.00092,                0.00092,                0.00092
                     63,                 1.1346,                 0.7825,                 1.2985,                0.78153,                0.73529,                0.76813,                 0.3827,                 2.8395,                 1.2664,                 3.3743,               0.000902,               0.000902,               0.000902
                     64,                 1.1106,                0.76639,                  1.355,                0.75556,                0.66176,                0.73748,                0.37541,                 2.9234,                 1.8691,                 3.4356,               0.000884,               0.000884,               0.000884
                     65,                 1.0829,                0.71603,                 1.2597,                0.80693,                0.64706,                0.71743,                0.37186,                 2.8698,                 1.7418,                 3.3738,               0.000866,               0.000866,               0.000866
                     66,                 1.0355,                0.71493,                 1.2322,                0.78291,                0.70588,                 0.7453,                0.36987,                 2.7811,                 1.4924,                  3.194,               0.000848,               0.000848,               0.000848
                     67,                 1.1179,                0.76795,                 1.2655,                0.81283,                0.70588,                0.76268,                0.37985,                 2.9217,                 1.0999,                 3.3449,                0.00083,                0.00083,                0.00083
                     68,                 1.1088,                0.77677,                 1.3035,                0.80903,                   0.75,                0.80379,                0.41328,                 2.7516,                 1.2046,                 3.1831,               0.000812,               0.000812,               0.000812
                     69,                 1.0371,                0.71185,                 1.2633,                0.80937,                   0.75,                0.78703,                0.38055,                 2.8495,                 1.3622,                 3.5263,               0.000794,               0.000794,               0.000794
                     70,                 1.0811,                0.69817,                 1.2416,                0.71455,                0.77941,                0.77851,                0.40225,                 2.9833,                 1.1789,                 3.8304,               0.000776,               0.000776,               0.000776
                     71,                0.99303,                0.66357,                 1.2349,                0.67546,                0.76471,                0.77765,                0.41537,                 3.0267,                 1.2192,                  3.783,               0.000758,               0.000758,               0.000758
                     72,                 1.0547,                0.67933,                 1.2703,                0.76576,                 0.6731,                 0.7527,                0.42022,                 3.0139,                 1.3742,                 3.9289,                0.00074,                0.00074,                0.00074
                     73,                 1.0683,                0.68919,                 1.2023,                 0.7605,                0.64706,                0.69822,                0.36718,                 2.9092,                 1.5265,                 4.1189,               0.000722,               0.000722,               0.000722
                     74,                 1.0151,                0.66734,                 1.2392,                0.78558,                0.77941,                0.78363,                0.39488,                 2.6239,                 1.2236,                  3.384,               0.000704,               0.000704,               0.000704
                     75,                 1.0312,                 0.6485,                 1.2275,                0.74199,                0.72059,                0.75697,                0.36904,                  2.869,                 1.2294,                 3.8057,               0.000686,               0.000686,               0.000686
                     76,                 1.0665,                0.72173,                 1.2931,                0.86887,                0.64706,                0.77337,                0.38254,                 2.7095,                 1.2175,                 3.3944,               0.000668,               0.000668,               0.000668
                     77,                 1.0724,                0.67604,                 1.2497,                0.87829,                0.67647,                0.77266,                0.37405,                 2.7119,                 1.1753,                 3.3892,                0.00065,                0.00065,                0.00065
                     78,                 1.0005,                0.64515,                 1.2223,                0.84268,                0.63022,                0.72014,                0.34378,                 2.7497,                  1.154,                 3.5369,               0.000632,               0.000632,               0.000632
                     79,                0.97257,                0.62193,                 1.2053,                0.77991,                0.72059,                0.75062,                0.38299,                 2.7528,                 1.0895,                 3.6369,               0.000614,               0.000614,               0.000614
                     80,                0.94048,                0.60746,                 1.2082,                0.87577,                0.72059,                0.80943,                0.42618,                 2.7025,                 1.1406,                 3.7705,               0.000596,               0.000596,               0.000596
                     81,                0.97438,                0.63722,                 1.1939,                0.82635,                0.67647,                0.73642,                0.39844,                 2.8795,                 1.1807,                 3.9696,               0.000578,               0.000578,               0.000578
                     82,                0.97584,                 0.6612,                  1.221,                0.71945,                0.67883,                0.72632,                0.38489,                 2.9425,                 1.2559,                 4.2254,                0.00056,                0.00056,                0.00056
                     83,                0.93969,                0.61118,                 1.2116,                0.82099,                0.69118,                0.76395,                0.40843,                 2.9859,                 1.2149,                 4.2547,               0.000542,               0.000542,               0.000542
                     84,                0.93561,                0.61948,                 1.2013,                 0.7573,                0.73422,                0.72204,                0.37631,                 2.9593,                 1.1898,                 4.1025,               0.000524,               0.000524,               0.000524
                     85,                0.97548,                0.68865,                  1.175,                 0.7127,                0.76471,                0.75267,                0.39175,                 2.7922,                 1.1842,                 3.7326,               0.000506,               0.000506,               0.000506
                     86,                 0.8888,                0.59827,                 1.1539,                0.77324,                0.72059,                0.76909,                0.38501,                 2.8259,                 1.1819,                 3.7117,               0.000488,               0.000488,               0.000488
                     87,                0.93589,                0.60958,                 1.1646,                0.80403,                0.69118,                0.76563,                0.40124,                 2.8372,                 1.3256,                 3.9404,                0.00047,                0.00047,                0.00047
                     88,                0.92467,                0.58296,                 1.1855,                0.76883,                0.69118,                 0.7583,                 0.3967,                 2.8572,                 1.2767,                 3.7622,               0.000452,               0.000452,               0.000452
                     89,                0.93317,                 0.6409,                  1.188,                0.75176,                0.77941,                0.76961,                0.39874,                 2.9236,                 1.1998,                 4.0223,               0.000434,               0.000434,               0.000434
                     90,                0.91445,                0.59626,                 1.1845,                0.76132,                0.72059,                0.75645,                0.40433,                 2.8712,                 1.2743,                 3.9681,               0.000416,               0.000416,               0.000416
                     91,                 0.8746,                0.60761,                 1.1719,                0.74731,                0.78289,                0.81576,                0.42104,                 2.6384,                 1.1842,                 3.3103,               0.000398,               0.000398,               0.000398
                     92,                0.83402,                0.60767,                 1.1445,                0.71054,                0.79416,                0.80214,                0.42095,                 2.7021,                 1.3568,                 3.3874,                0.00038,                0.00038,                0.00038
                     93,                0.86248,                0.56084,                 1.1498,                0.75467,                0.72059,                 0.7601,                0.39953,                 2.8832,                 1.4959,                  3.608,               0.000362,               0.000362,               0.000362
                     94,                0.83817,                0.57815,                 1.1329,                0.72602,                0.77937,                0.75921,                0.40774,                 2.9472,                 1.3124,                 3.8612,               0.000344,               0.000344,               0.000344
                     95,                0.89739,                0.57455,                 1.1849,                0.78169,                0.76471,                 0.7773,                0.43112,                 2.9148,                 1.2157,                 3.9202,               0.000326,               0.000326,               0.000326
                     96,                0.94115,                0.65294,                 1.1981,                0.80417,                0.70588,                0.75462,                0.42709,                 2.9026,                 1.1793,                 4.0432,               0.000308,               0.000308,               0.000308
                     97,                0.81185,                0.54685,                 1.1083,                0.85531,                0.69548,                0.77937,                0.43222,                 2.9173,                 1.1161,                 4.0598,                0.00029,                0.00029,                0.00029
                     98,                0.86794,                0.53674,                 1.1758,                 0.8041,                   0.75,                 0.7903,                0.43761,                 2.8679,                 1.1217,                  3.895,               0.000272,               0.000272,               0.000272
                     99,                 0.8127,                0.53441,                 1.0981,                0.88171,                0.72059,                0.79504,                0.43273,                 2.8883,                 1.1236,                 4.0981,               0.000254,               0.000254,               0.000254
                    100,                0.82262,                0.51526,                  1.118,                0.85782,                0.72059,                0.80393,                0.42205,                 2.8665,                 1.1187,                 4.1833,               0.000236,               0.000236,               0.000236
